task_id,failure_type
0,Navigation Error
1,Navigation Error
3,Planning / Strategy Error
5,Planning / Strategy Error
7,Planning / Strategy Error
11,Planning / Strategy Error
12,Planning / Strategy Error
13,Planning / Strategy Error
15,Information Extraction Error
16,Planning / Strategy Error
18,Planning / Strategy Error
19,Navigation Error
20,Instruction Understanding Error
22,Information Extraction Error
24,Navigation Error
25,Planning / Strategy Error
26,Planning / Strategy Error
27,Planning / Strategy Error
28,Information Extraction Error
29,Planning / Strategy Error
30,Planning / Strategy Error
31,Planning / Strategy Error
33,Planning / Strategy Error
34,Information Extraction Error
35,Planning / Strategy Error
38,Navigation Error
41,Navigation Error
44,Planning / Strategy Error
45,Planning / Strategy Error
47,Information Extraction Error
48,Planning / Strategy Error
51,Information Extraction Error
52,Planning / Strategy Error
53,Planning / Strategy Error
54,Planning / Strategy Error
57,Planning / Strategy Error
58,Planning / Strategy Error
59,Planning / Strategy Error
60,Planning / Strategy Error
63,Information Extraction Error
64,Planning / Strategy Error
65,Planning / Strategy Error
67,Planning / Strategy Error
69,Planning / Strategy Error
70,Information Extraction Error
71,Navigation Error
74,Information Extraction Error
75,Planning / Strategy Error
76,Planning / Strategy Error
77,Planning / Strategy Error
78,Planning / Strategy Error
79,Instruction Understanding Error
80,Planning / Strategy Error
81,Information Extraction Error
82,Planning / Strategy Error
85,Planning / Strategy Error
86,Planning / Strategy Error
88,Element Grounding Error
90,Planning / Strategy Error
92,Navigation Error
93,Planning / Strategy Error
95,Information Extraction Error
97,Instruction Understanding Error
98,Planning / Strategy Error
